scenario,policy,timestamp,state,equity,drawdown_pct
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-16T23:55:00Z,OPEN,6961.737386,30.3826
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-17T12:05:00Z,FLAT,6952.764837,30.4724
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-18T23:55:00Z,OPEN,6932.923247,30.6708
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-19T23:55:00Z,OPEN,6922.191129,30.7781
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-20T19:30:00Z,FLAT,6891.888743,31.0811
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-21T06:05:00Z,FLAT,6885.773607,31.1423
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-27T14:05:00Z,FLAT,6876.729726,31.2327
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-28T23:55:00Z,OPEN,6869.577982,31.3042
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-29T21:05:00Z,FLAT,6848.404017,31.516
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-09-30T23:35:00Z,FLAT,6827.827772,31.7217
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-01T23:55:00Z,OPEN,6838.281383,31.6172
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-02T19:20:00Z,FLAT,6809.177038,31.9082
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-04T23:55:00Z,OPEN,6803.335847,31.9666
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-05T16:05:00Z,FLAT,6773.594851,32.2641
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-06T23:30:00Z,FLAT,6748.789129,32.5121
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-07T23:55:00Z,OPEN,6725.834355,32.7417
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-08T23:55:00Z,OPEN,6708.977292,32.9102
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-09T05:10:00Z,FLAT,6700.421933,32.9958
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-15T23:55:00Z,OPEN,6697.902278,33.021
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-16T23:55:00Z,OPEN,6713.058182,32.8694
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-17T23:55:00Z,OPEN,6684.40747,33.1559
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-18T23:55:00Z,OPEN,6669.673951,33.3033
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-19T23:55:00Z,OPEN,6658.44279,33.4156
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-20T23:55:00Z,OPEN,6661.645893,33.3835
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-21T23:10:00Z,FLAT,6648.373605,33.5163
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-22T23:55:00Z,OPEN,6629.498998,33.705
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-23T23:55:00Z,OPEN,6691.692815,33.0831
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-24T23:55:00Z,OPEN,6676.579148,33.2342
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-25T22:15:00Z,FLAT,6665.429749,33.3457
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-26T23:55:00Z,OPEN,6661.190768,33.3881
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-27T15:05:00Z,FLAT,6638.567898,33.6143
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-28T23:20:00Z,FLAT,6620.136456,33.7986
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-29T23:55:00Z,OPEN,6607.227025,33.9277
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-30T23:55:00Z,OPEN,6596.353679,34.0365
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-10-31T23:55:00Z,OPEN,6583.679249,34.1632
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-01T23:55:00Z,OPEN,6569.896437,34.301
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-02T13:30:00Z,FLAT,6555.794399,34.4421
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-03T17:05:00Z,FLAT,6550.513129,34.4949
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-04T23:55:00Z,OPEN,6531.570688,34.6843
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-05T23:55:00Z,OPEN,6500.051432,34.9995
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-06T23:55:00Z,OPEN,6474.318023,35.2568
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-07T23:55:00Z,OPEN,6462.688598,35.3731
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-08T23:55:00Z,OPEN,6441.348333,35.5865
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-09T23:55:00Z,OPEN,6456.175997,35.4382
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-10T23:55:00Z,OPEN,6436.645154,35.6335
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-11T20:40:00Z,FLAT,6412.326107,35.8767
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-12T23:55:00Z,OPEN,6382.172864,36.1783
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-13T03:05:00Z,FLAT,6379.214265,36.2079
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-15T23:55:00Z,OPEN,6409.50345,35.905
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-16T12:25:00Z,FLAT,6384.521963,36.1548
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-18T20:35:00Z,FLAT,6373.725034,36.2627
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-19T23:55:00Z,OPEN,6379.699082,36.203
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-20T23:55:00Z,OPEN,6346.865897,36.5313
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-21T10:05:00Z,FLAT,6333.606043,36.6639
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-22T23:55:00Z,OPEN,6331.487069,36.6851
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-23T23:55:00Z,OPEN,6304.304083,36.957
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-24T23:55:00Z,OPEN,6286.559848,37.1344
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-25T22:10:00Z,FLAT,6269.697184,37.303
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-26T10:15:00Z,FLAT,6260.161761,37.3984
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-28T22:10:00Z,FLAT,6263.928032,37.3607
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-29T15:15:00Z,FLAT,6235.661463,37.6434
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-11-30T14:05:00Z,FLAT,6220.424708,37.7958
fee_0.00050_slip_0.00010,B_gate_cooldown,2023-12-01T22:50:00Z,FLAT,6218.621787,37.8138
