policy,sequence,kind,signal_close_at,scheduled_at,actual_at,price,quantity,reason,trade_id
B_gate_cooldown,3950,ENTRY_FILLED,2024-02-08T20:30:00Z,2024-02-08T20:35:00Z,2024-02-08T20:35:00Z,45516.35118,0.02197012665,,B_gate_cooldown-T03950-19095
B_gate_cooldown,3950,EXIT_FILLED,2024-02-08T20:30:00Z,2024-02-08T21:35:00Z,2024-02-08T21:35:00Z,45455.35401,0.02197012665,,B_gate_cooldown-T03950-19095
B_gate_cooldown,3951,ENTRY_FILLED,2024-02-08T21:30:00Z,2024-02-08T21:35:00Z,2024-02-08T21:35:00Z,45464.44599,0.02199520918,,B_gate_cooldown-T03951-19097
B_gate_cooldown,3951,EXIT_FILLED,2024-02-08T21:30:00Z,2024-02-08T22:35:00Z,2024-02-08T22:35:00Z,45288.87066,0.02199520918,,B_gate_cooldown-T03951-19097
B_gate_cooldown,3952,ENTRY_FILLED,2024-02-08T22:30:00Z,2024-02-08T22:35:00Z,2024-02-08T22:35:00Z,45297.92934,0.02207606428,,B_gate_cooldown-T03952-19099
B_gate_cooldown,3952,EXIT_FILLED,2024-02-08T22:30:00Z,2024-02-08T23:35:00Z,2024-02-08T23:35:00Z,45255.87396,0.02207606428,,B_gate_cooldown-T03952-19099
B_gate_cooldown,3953,ENTRY_FILLED,2024-02-08T23:45:00Z,2024-02-08T23:50:00Z,2024-02-08T23:50:00Z,45329.63251,0.02206062447,,B_gate_cooldown-T03953-19101
B_gate_cooldown,3953,EXIT_FILLED,2024-02-08T23:45:00Z,2024-02-09T00:50:00Z,2024-02-09T00:50:00Z,45223.17723,0.02206062447,,B_gate_cooldown-T03953-19101
B_gate_cooldown,3954,ENTRY_FILLED,2024-02-09T01:15:00Z,2024-02-09T01:20:00Z,2024-02-09T01:20:00Z,45346.63421,0.02205235333,,B_gate_cooldown-T03954-19103
B_gate_cooldown,3954,EXIT_FILLED,2024-02-09T01:15:00Z,2024-02-09T02:20:00Z,2024-02-09T02:20:00Z,45700.02954,0.02205235333,,B_gate_cooldown-T03954-19103
B_gate_cooldown,3955,ENTRY_FILLED,2024-02-09T02:15:00Z,2024-02-09T02:20:00Z,2024-02-09T02:20:00Z,45709.17046,0.021877448,,B_gate_cooldown-T03955-19105
B_gate_cooldown,3955,EXIT_FILLED,2024-02-09T02:15:00Z,2024-02-09T03:20:00Z,2024-02-09T03:20:00Z,46182.3813,0.021877448,,B_gate_cooldown-T03955-19105
B_gate_cooldown,3956,ENTRY_FILLED,2024-02-09T03:15:00Z,2024-02-09T03:20:00Z,2024-02-09T03:20:00Z,46191.6187,0.02164894905,,B_gate_cooldown-T03956-19107
B_gate_cooldown,3956,EXIT_FILLED,2024-02-09T03:15:00Z,2024-02-09T04:20:00Z,2024-02-09T04:20:00Z,45837.91575,0.02164894905,,B_gate_cooldown-T03956-19107
B_gate_cooldown,3957,ENTRY_FILLED,2024-02-09T04:15:00Z,2024-02-09T04:20:00Z,2024-02-09T04:20:00Z,45847.08425,0.02181163789,,B_gate_cooldown-T03957-19109
B_gate_cooldown,3957,EXIT_FILLED,2024-02-09T04:15:00Z,2024-02-09T05:20:00Z,2024-02-09T05:20:00Z,45974.50209,0.02181163789,,B_gate_cooldown-T03957-19109
B_gate_cooldown,3958,ENTRY_FILLED,2024-02-09T05:15:00Z,2024-02-09T05:20:00Z,2024-02-09T05:20:00Z,45983.69791,0.02174683737,,B_gate_cooldown-T03958-19111
B_gate_cooldown,3958,EXIT_FILLED,2024-02-09T05:15:00Z,2024-02-09T06:20:00Z,2024-02-09T06:20:00Z,46166.48289,0.02174683737,,B_gate_cooldown-T03958-19111
B_gate_cooldown,3959,ENTRY_FILLED,2024-02-09T06:15:00Z,2024-02-09T06:20:00Z,2024-02-09T06:20:00Z,46175.71711,0.02165640433,,B_gate_cooldown-T03959-19113
B_gate_cooldown,3959,EXIT_FILLED,2024-02-09T06:15:00Z,2024-02-09T07:20:00Z,2024-02-09T07:20:00Z,46196.77986,0.02165640433,,B_gate_cooldown-T03959-19113
B_gate_cooldown,3960,ENTRY_FILLED,2024-02-09T07:15:00Z,2024-02-09T07:20:00Z,2024-02-09T07:20:00Z,46206.02014,0.02164220153,,B_gate_cooldown-T03960-19115
B_gate_cooldown,3960,EXIT_FILLED,2024-02-09T07:15:00Z,2024-02-09T08:20:00Z,2024-02-09T08:20:00Z,46380.46149,0.02164220153,,B_gate_cooldown-T03960-19115
B_gate_cooldown,3961,ENTRY_FILLED,2024-02-09T08:15:00Z,2024-02-09T08:20:00Z,2024-02-09T08:20:00Z,46389.73851,0.02155649142,,B_gate_cooldown-T03961-19117
B_gate_cooldown,3961,EXIT_FILLED,2024-02-09T08:15:00Z,2024-02-09T09:20:00Z,2024-02-09T09:20:00Z,46509.3486,0.02155649142,,B_gate_cooldown-T03961-19117
B_gate_cooldown,3962,ENTRY_FILLED,2024-02-09T09:15:00Z,2024-02-09T09:20:00Z,2024-02-09T09:20:00Z,46518.6514,0.02149675388,,B_gate_cooldown-T03962-19119
B_gate_cooldown,3962,EXIT_FILLED,2024-02-09T09:15:00Z,2024-02-09T10:20:00Z,2024-02-09T10:20:00Z,46650.13452,0.02149675388,,B_gate_cooldown-T03962-19119
B_gate_cooldown,3963,ENTRY_FILLED,2024-02-09T10:15:00Z,2024-02-09T10:20:00Z,2024-02-09T10:20:00Z,46659.46548,0.02143187861,,B_gate_cooldown-T03963-19121
B_gate_cooldown,3963,EXIT_FILLED,2024-02-09T10:15:00Z,2024-02-09T11:20:00Z,2024-02-09T11:20:00Z,46699.62957,0.02143187861,,B_gate_cooldown-T03963-19121
B_gate_cooldown,3964,ENTRY_FILLED,2024-02-09T11:15:00Z,2024-02-09T11:20:00Z,2024-02-09T11:20:00Z,46708.97043,0.02140916382,,B_gate_cooldown-T03964-19123
