policy,timestamp,state,mark_price,quantity,cash,reserved,unrealized_pnl,equity,drawdown_pct
B_gate_cooldown,2025-03-22T05:05:00Z,FLAT,84300,0,1688.947146,0,0,1688.947146,75.5591
B_gate_cooldown,2025-03-22T06:05:00Z,FLAT,84353.2,0,1688.377904,0,0,1688.377904,75.5643
B_gate_cooldown,2025-03-22T07:05:00Z,FLAT,84338.5,0,1687.003879,0,0,1687.003879,75.5768
B_gate_cooldown,2025-03-22T08:05:00Z,FLAT,84231.1,0,1684.53145,0,0,1684.53145,84.6852
B_gate_cooldown,2025-03-22T11:05:00Z,FLAT,84352.1,0,1683.23799,0,0,1683.23799,75.611
B_gate_cooldown,2025-03-22T12:05:00Z,FLAT,84170.1,0,1679.881997,0,0,1679.881997,84.7275
B_gate_cooldown,2025-03-23T23:55:00Z,OPEN,85761.5,0.01170212778,1671.335974,1000,3.592031313,2674.928005,75.6811
B_gate_cooldown,2025-03-23T05:05:00Z,FLAT,84086.3,0,1678.74273,0,0,1678.74273,84.7379
B_gate_cooldown,2025-03-23T07:05:00Z,FLAT,84169.9,0,1677.541663,0,0,1677.541663,75.6628
B_gate_cooldown,2025-03-23T08:05:00Z,FLAT,84250.1,0,1677.293951,0,0,1677.293951,75.6651
B_gate_cooldown,2025-03-23T09:05:00Z,FLAT,84316.1,0,1676.876904,0,0,1676.876904,75.6689
B_gate_cooldown,2025-03-23T10:05:00Z,FLAT,84275.9,0,1675.200581,0,0,1675.200581,75.6841
B_gate_cooldown,2025-03-23T11:05:00Z,FLAT,84668,0,1678.65002,0,0,1678.65002,75.6528
B_gate_cooldown,2025-03-23T12:05:00Z,FLAT,84694.9,0,1677.767629,0,0,1677.767629,75.6608
B_gate_cooldown,2025-03-23T13:05:00Z,FLAT,84665.1,0,1676.216144,0,0,1676.216144,75.6749
B_gate_cooldown,2025-03-23T14:05:00Z,FLAT,85009.6,0,1679.082389,0,0,1679.082389,75.6488
B_gate_cooldown,2025-03-23T15:05:00Z,FLAT,84935,0,1677.005576,0,0,1677.005576,75.6677
B_gate_cooldown,2025-03-23T16:05:00Z,FLAT,85053.4,0,1677.198727,0,0,1677.198727,75.6659
B_gate_cooldown,2025-03-23T17:05:00Z,FLAT,85333,0,1679.283893,0,0,1679.283893,75.647
B_gate_cooldown,2025-03-23T18:05:00Z,FLAT,84909.6,0,1673.125747,0,0,1673.125747,84.7889
B_gate_cooldown,2025-03-23T20:20:00Z,FLAT,85121.2,0,1673.351929,0,0,1673.351929,75.7009
B_gate_cooldown,2025-03-23T21:20:00Z,FLAT,84945.4,0,1670.088204,0,0,1670.088204,84.8166
B_gate_cooldown,2025-03-23T23:05:00Z,FLAT,85446,0,1671.835974,0,0,1671.835974,75.7147
B_gate_cooldown,2025-03-24T22:35:00Z,FLAT,87512.3,0,1661.97007,0,0,1661.97007,84.8904
B_gate_cooldown,2025-03-24T00:05:00Z,FLAT,85936.6,0,1676.373713,0,0,1676.373713,75.6734
B_gate_cooldown,2025-03-24T01:05:00Z,FLAT,85782.3,0,1673.37958,0,0,1673.37958,75.7007
B_gate_cooldown,2025-03-24T02:05:00Z,FLAT,85628.1,0,1670.383385,0,0,1670.383385,84.8139
B_gate_cooldown,2025-03-24T03:20:00Z,FLAT,86311.4,0,1676.403135,0,0,1676.403135,75.6732
B_gate_cooldown,2025-03-24T04:20:00Z,FLAT,86650,0,1679.123513,0,0,1679.123513,75.6485
B_gate_cooldown,2025-03-24T05:20:00Z,FLAT,86981.6,0,1681.747845,0,0,1681.747845,75.6246
B_gate_cooldown,2025-03-24T06:20:00Z,FLAT,87053.5,0,1681.373998,0,0,1681.373998,75.628
B_gate_cooldown,2025-03-24T07:20:00Z,FLAT,86956.5,0,1679.06064,0,0,1679.06064,75.649
B_gate_cooldown,2025-03-24T08:20:00Z,FLAT,87200.2,0,1680.66135,0,0,1680.66135,75.6345
B_gate_cooldown,2025-03-24T09:20:00Z,FLAT,87259.1,0,1680.136454,0,0,1680.136454,75.6392
B_gate_cooldown,2025-03-24T10:20:00Z,FLAT,87270.4,0,1679.065983,0,0,1679.065983,75.649
B_gate_cooldown,2025-03-24T11:20:00Z,FLAT,87540,0,1680.95319,0,0,1680.95319,75.6318
B_gate_cooldown,2025-03-24T12:20:00Z,FLAT,87467.2,0,1678.922272,0,0,1678.922272,75.6503
B_gate_cooldown,2025-03-24T13:20:00Z,FLAT,87185.5,0,1674.50401,0,0,1674.50401,84.7764
B_gate_cooldown,2025-03-24T14:50:00Z,FLAT,88211.4,0,1681.160534,0,0,1681.160534,75.6299
B_gate_cooldown,2025-03-24T15:50:00Z,FLAT,87998.9,0,1677.553354,0,0,1677.553354,75.6627
B_gate_cooldown,2025-03-24T16:50:00Z,FLAT,87973.6,0,1676.066172,0,0,1676.066172,75.6763
B_gate_cooldown,2025-03-24T17:50:00Z,FLAT,88321.1,0,1678.813576,0,0,1678.813576,75.6513
B_gate_cooldown,2025-03-24T18:50:00Z,FLAT,88413.1,0,1678.654621,0,0,1678.654621,75.6527
B_gate_cooldown,2025-03-24T19:50:00Z,FLAT,88135.5,0,1674.317132,0,0,1674.317132,84.7781
B_gate_cooldown,2025-03-24T21:05:00Z,FLAT,87822.1,0,1669.253257,0,0,1669.253257,84.8241
B_gate_cooldown,2025-03-24T22:35:00Z,FLAT,87512.3,0,1661.97007,0,0,1661.97007,84.8904
B_gate_cooldown,2025-03-25T22:20:00Z,FLAT,87544,0,1650.270938,0,0,1650.270938,84.9967
B_gate_cooldown,2025-03-25T11:05:00Z,FLAT,87115.3,0,1660.647465,0,0,1660.647465,75.8164
B_gate_cooldown,2025-03-25T12:05:00Z,FLAT,87258.6,0,1661.09138,0,0,1661.09138,75.8124
B_gate_cooldown,2025-03-25T13:05:00Z,FLAT,87200,0,1659.220403,0,0,1659.220403,75.8294
B_gate_cooldown,2025-03-25T14:05:00Z,FLAT,87499.9,0,1661.457336,0,0,1661.457336,75.8091
B_gate_cooldown,2025-03-25T15:05:00Z,FLAT,87972,0,1665.649115,0,0,1665.649115,75.771
B_gate_cooldown,2025-03-25T16:05:00Z,FLAT,87718.1,0,1661.565109,0,0,1661.565109,75.8081
B_gate_cooldown,2025-03-25T17:05:00Z,FLAT,87972.6,0,1663.264538,0,0,1663.264538,75.7926
B_gate_cooldown,2025-03-25T18:05:00Z,FLAT,87941.5,0,1661.711386,0,0,1661.711386,75.8068
B_gate_cooldown,2025-03-25T19:05:00Z,FLAT,87878.3,0,1659.79335,0,0,1659.79335,75.8242
B_gate_cooldown,2025-03-25T20:05:00Z,FLAT,88047.7,0,1660.519786,0,0,1660.519786,75.8176
B_gate_cooldown,2025-03-25T21:05:00Z,FLAT,87951.2,0,1658.224677,0,0,1658.224677,84.9244
B_gate_cooldown,2025-03-25T22:20:00Z,FLAT,87544,0,1650.270938,0,0,1650.270938,84.9967
B_gate_cooldown,2025-03-26T12:05:00Z,FLAT,87923.1,0,1642.842178,0,0,1642.842178,85.0643
B_gate_cooldown,2025-03-26T02:05:00Z,FLAT,87609.5,0,1649.431627,0,0,1649.431627,75.9184
B_gate_cooldown,2025-03-26T03:05:00Z,FLAT,87243.6,0,1644.058182,0,0,1644.058182,85.0532
B_gate_cooldown,2025-03-26T07:05:00Z,FLAT,87810.1,0,1647.546089,0,0,1647.546089,75.9355
B_gate_cooldown,2025-03-26T08:05:00Z,FLAT,88044,0,1649.008048,0,0,1649.008048,75.9223
B_gate_cooldown,2025-03-26T09:05:00Z,FLAT,87867,0,1645.799216,0,0,1645.799216,75.9514
B_gate_cooldown,2025-03-26T10:05:00Z,FLAT,87953.7,0,1645.585364,0,0,1645.585364,75.9534
B_gate_cooldown,2025-03-26T11:05:00Z,FLAT,88120.4,0,1646.279473,0,0,1646.279473,75.9471
B_gate_cooldown,2025-03-26T12:05:00Z,FLAT,87923.1,0,1642.842178,0,0,1642.842178,85.0643
B_gate_cooldown,2025-03-27T23:55:00Z,OPEN,87223.5,0.01146516546,1617.675845,1000,0.03185940178,2617.707704,76.2014
B_gate_cooldown,2025-03-27T02:05:00Z,FLAT,87392.6,0,1642.64612,0,0,1642.64612,75.9801
B_gate_cooldown,2025-03-27T03:05:00Z,FLAT,87489.9,0,1642.558828,0,0,1642.558828,75.9809
B_gate_cooldown,2025-03-27T04:05:00Z,FLAT,87481.2,0,1641.259577,0,0,1641.259577,75.9927
B_gate_cooldown,2025-03-27T05:05:00Z,FLAT,87400.1,0,1639.13329,0,0,1639.13329,76.012
B_gate_cooldown,2025-03-27T06:05:00Z,FLAT,87293.4,0,1636.713442,0,0,1636.713442,85.12
B_gate_cooldown,2025-03-27T07:20:00Z,FLAT,87270.4,0,1633.76126,0,0,1633.76126,85.1468
B_gate_cooldown,2025-03-27T09:05:00Z,FLAT,87385.9,0,1632.571672,0,0,1632.571672,76.0717
B_gate_cooldown,2025-03-27T10:05:00Z,FLAT,87478.5,0,1632.430718,0,0,1632.430718,85.1589
B_gate_cooldown,2025-03-27T11:20:00Z,FLAT,87120,0,1628.154802,0,0,1628.154802,85.1978
B_gate_cooldown,2025-03-27T16:05:00Z,FLAT,86994.9,0,1624.242212,0,0,1624.242212,85.2334
B_gate_cooldown,2025-03-27T20:05:00Z,FLAT,87000,0,1621.372734,0,0,1621.372734,85.2594
B_gate_cooldown,2025-03-27T22:05:00Z,FLAT,87454.1,0,1622.142097,0,0,1622.142097,76.1665
B_gate_cooldown,2025-03-27T23:05:00Z,FLAT,87212,0,1618.175845,0,0,1618.175845,76.2026
B_gate_cooldown,2025-03-28T03:35:00Z,FLAT,86827.3,0,1608.802308,0,0,1608.802308,85.3737
